tender_id,lot_number,bid_number,varname,Master,Using
"00000138-2490-4330-a3fd-f79b037c7dbd",1,1,"bid_priceUsd","196642.96875","32439.30859375"
"00000138-2490-4330-a3fd-f79b037c7dbd",1,1,"bid_price","145000","23920"
"00000138-2490-4330-a3fd-f79b037c7dbd",2,1,"bid_priceUsd","32439.30859375","196642.96875"
"00000138-2490-4330-a3fd-f79b037c7dbd",2,1,"bid_price","23920","145000"
"00a1374f-e8d3-4ec5-9e6a-90361bc40372",1,2,"bidder_masterid","ac8017f5-9a3d-4a1b-a103-c703c00fdb2c","1f767636-3730-48b0-aaea-3de3eecaa8e9"
"00a1374f-e8d3-4ec5-9e6a-90361bc40372",1,2,"bidder_name","Rausi Co Ltd","Orme Scientific Ltd"
"00a1374f-e8d3-4ec5-9e6a-90361bc40372",1,2,"bid_priceUsd","394108.84375","185124.65625"
"00a1374f-e8d3-4ec5-9e6a-90361bc40372",1,2,"bid_price","301418","141585"
"00a1374f-e8d3-4ec5-9e6a-90361bc40372",1,4,"bidder_masterid","1f767636-3730-48b0-aaea-3de3eecaa8e9","ac8017f5-9a3d-4a1b-a103-c703c00fdb2c"
"00a1374f-e8d3-4ec5-9e6a-90361bc40372",1,4,"bidder_name","Orme Scientific Ltd","Rausi Co Ltd"
"00a1374f-e8d3-4ec5-9e6a-90361bc40372",1,4,"bid_priceUsd","185124.65625","394108.84375"
"00a1374f-e8d3-4ec5-9e6a-90361bc40372",1,4,"bid_price","141585","301418"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",1,1,"bidder_masterid","871fc9a5-633b-4945-8f54-2c991f322328","785cc336-26ae-4ca0-86b0-6e9e53af88cd"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",1,1,"bidder_id","MT10162536",""
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",1,1,"bidder_geocodes","[""]","["MT001"]"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",1,1,"bidder_name","Polidano Brothers Ltd","Zrar Ltd"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",1,1,"bid_priceUsd","356099.90625","."
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",1,1,"bid_price","268703","."
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",1,1,"ind_tr_bid_price_val","100","0"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",2,1,"bidder_masterid","785cc336-26ae-4ca0-86b0-6e9e53af88cd","871fc9a5-633b-4945-8f54-2c991f322328"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",2,1,"bidder_id","","MT10162536"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",2,1,"bidder_geocodes","["MT001"]","[""]"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",2,1,"bidder_name","Zrar Ltd","Polidano Brothers Ltd"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",2,1,"bid_priceUsd",".","356099.90625"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",2,1,"bid_price",".","268703"
"02ed4a0a-61f0-4f7b-b00b-dd443f21bb67",2,1,"ind_tr_bid_price_val","0","100"
"0303f804-7703-4e58-ad79-b6b255fe2850",1,1,"bidder_masterid","9ffe999f-16a3-4d6d-bd2a-7f35038aedc5","daf852dc-d00f-4cd8-8d21-6883f1336d61"
"0303f804-7703-4e58-ad79-b6b255fe2850",1,1,"bid_priceUsd","60311.55078125","12205.9091796875"
"0303f804-7703-4e58-ad79-b6b255fe2850",1,1,"bid_price","42000","8500"
"0303f804-7703-4e58-ad79-b6b255fe2850",1,1,"title","Fixed telephony services for EASO offices in Italy","Fixed telephony services for EASO offices in Greece and Cyprus (optional)"
"0303f804-7703-4e58-ad79-b6b255fe2850",2,1,"bidder_masterid","f6e1d54e-0d09-4997-8567-c8d81624c5e9","9ffe999f-16a3-4d6d-bd2a-7f35038aedc5"
"0303f804-7703-4e58-ad79-b6b255fe2850",2,1,"bid_priceUsd","2153.98388671875","60311.55078125"
"0303f804-7703-4e58-ad79-b6b255fe2850",2,1,"bid_price","1500","42000"
"0303f804-7703-4e58-ad79-b6b255fe2850",2,1,"title","Fixed telephony services for EASO offices in Belgium","Fixed telephony services for EASO offices in Italy"
"0303f804-7703-4e58-ad79-b6b255fe2850",3,1,"bidder_masterid","daf852dc-d00f-4cd8-8d21-6883f1336d61","f6e1d54e-0d09-4997-8567-c8d81624c5e9"
"0303f804-7703-4e58-ad79-b6b255fe2850",3,1,"bid_priceUsd","12205.9091796875","2153.98388671875"
"0303f804-7703-4e58-ad79-b6b255fe2850",3,1,"bid_price","8500","1500"
"0303f804-7703-4e58-ad79-b6b255fe2850",3,1,"title","Fixed telephony services for EASO offices in Greece and Cyprus (optional)","Fixed telephony services for EASO offices in Belgium"
"03bbdd3d-ed56-4cb2-bdec-f47ba51ec3a4",1,2,"bidder_masterid","c90b1b4b-f109-47a4-9ff0-8b22eeb0787c","9d865e73-94e5-4bf5-b402-56f8fbdbe614"
"03bbdd3d-ed56-4cb2-bdec-f47ba51ec3a4",1,2,"bidder_id","","MTC4567"
"03bbdd3d-ed56-4cb2-bdec-f47ba51ec3a4",1,2,"bidder_geocodes","["MT001"]","[""]"
"03bbdd3d-ed56-4cb2-bdec-f47ba51ec3a4",1,2,"bidder_name","Sarrebico Medical Supplies Ltd","General Distributors Ltd"
"03bbdd3d-ed56-4cb2-bdec-f47ba51ec3a4",1,2,"bid_priceUsd","25264.12109375","77897.703125"
"03bbdd3d-ed56-4cb2-bdec-f47ba51ec3a4",1,2,"bid_price","19200","59200"
"03bbdd3d-ed56-4cb2-bdec-f47ba51ec3a4",1,3,"bidder_masterid","9d865e73-94e5-4bf5-b402-56f8fbdbe614","898b2a54-9a48-4eff-b68d-c527e6546dc7"
"03bbdd3d-ed56-4cb2-bdec-f47ba51ec3a4",1,3,"bidder_id","MTC4567",""
"03bbdd3d-ed56-4cb2-bdec-f47ba51ec3a4",1,3,"bidder_name","General Distributors Ltd","InDesign (Malta) Ltd"
"03bbdd3d-ed56-4cb2-bdec-f47ba51ec3a4",1,3,"bid_priceUsd","77897.703125","15421.640625"
