df_name,csv_name
ind_corr_nocft_val,ind_corr_nocft
ind_singleb_val,ind_corr_singleb
ind_taxhav2_val,ind_corr_taxhaven
ind_corr_decp_val,ind_corr_decperiod
ind_corr_proc_val,ind_corr_nonopen_proc_method
ind_corr_submp_val,ind_corr_submperiod
ind_corr_ben_val,ind_corr_benfords
ind_csh_val,ind_winner_share
ind_tr_buyer_name_val,ind_tr_buyer_name_missing
ind_tr_title_val,ind_tr_title_missing
ind_tr_bidder_name_val,ind_tr_bidder_name_missing
ind_tr_tender_supplytype_val,ind_tr_tender_supplytype_missing
ind_tr_bid_price_val,ind_tr_bid_price_missing
ind_tr_impl_val,ind_tr_impl_loc_missing
ind_tr_proc_val,ind_tr_proc__method_missing
ind_tr_bids_val,ind_tr_bids_nr_missing
ind_tr_aw_date2_val,ind_tr_aw_date_missing
ind_comp_bidder_mkt_share_val,ind_comp_bidder_mkt_share
ind_comp_bids_count_val,ind_comp_bids_count
ind_comp_bidder_mkt_entry_val,ind_comp_bidder_mkt_entry
ind_comp_bidder_non_local_val,ind_comp_bidder_non_local
