code,cpv_descr
30000001,agricultural farming fishing forestry and related products
31000002,agricultural and horticultural products
31100005,crops products of market gardening and horticulture
31110002,seeds
31111003,soya beans
31112004,peanuts
31113005,sunflower seeds
31114006,cotton seeds
31115007,sesame seeds
31116008,mustard seeds
31117009,vegetable seeds
31118000,fruit seeds
31119001,flower seeds
31120009,unmanufactured tobacco
31130006,plants used for sugar manufacturing
31131007,sugar beet
31132008,sugar cane
31140003,straw and forage
31141004,straw
31142005,forage
31150000,raw vegetable materials
31151001,raw vegetable materials used in textile production
31151104,cotton
31151207,jute
31151300,flax
31160007,natural rubber and latex and associated products
31161008,natural rubber
31162009,natural latex
31163000,latex products
31170004,plants used in specific fields
31171005,plants used in perfumery or pharmacy or for insecticidal or similar purposes
31171108,plants used in perfumery
31171201,plants used in pharmacy
31171304,plants used for insecticidal purposes
31171407,plants used for fungicidal or similar purposes
31172006,seeds of plants used in specific fields
31200008,horticultural and nursery products
31210005,horticultural products
31211006,live plants bulbs roots cuttings and slips
31212007,cut flowers
31212100,floral arrangements
31300001,beverage and spice crops
31310008,beverage crops
31311009,coffee beans
31312000,tea bushes
31313001,maté
31314002,cocoa beans
31320005,unprocessed spices
31400004,animal products and related products
31410001,bulls semen
31420008,animal products
31421009,natural honey
31422000,snails
31423001,edible products of animal origin
31424002,waxes
31425003,eggs
31430005,products of mixed farming
31440002,agricultural supplies
32000003,cereals potatoes vegetables fruits and nuts
32100006,cereals and potatoes
32110003,cereals
32111004,wheat
32111107,durum wheat
32111200,soft wheat
32112005,maize
32113006,rice
32114007,barley
32115008,rye
32116009,oats
32117000,malt
32119002,grain products
32120000,potatoes and dried vegetables
32121001,potatoes
32122002,dried leguminous vegetables and pulses
32122105,dried leguminous vegetables
32122112,lentils
32122129,chick peas
32122136,dried peas
32122208,pulses
32200009,vegetables fruits and nuts
32210006,vegetables
32211007,root and tuber vegetables
32211100,root vegetables
32211117,beetroot
32211124,carrots
32211131,onions
32211148,turnips
32211203,tuber vegetables
32212008,fruit vegetables
32212101,beans
32212118,broad beans
32212125,green beans
32212132,runner beans
32212204,peas
32212211,garden peas
32212228,mange tout
32212307,peppers
32212400,tomatoes
32212503,courgettes
32212606,mushrooms
32212709,cucumbers
32213009,leaf vegetables
32213102,lettuce
32213205,salad leaves
32213308,artichokes
32213401,spinach
32214000,cabbage vegetables
32214103,cabbage
32214206,cauliflower
32214309,broccoli
32214402,brussels sprouts
32220003,fruit and nuts
32221004,tropical fruit and nuts
32221107,tropical fruit
32221114,bananas
32221121,pineapples
32221138,mangoes
32221145,dates
32221152,raisins
32221169,figs
32221176,avocados
32221183,kiwi fruit
32221200,coconuts
32222005,citrus fruit
32222108,lemons
32222201,oranges
32222304,grapefruit
32222407,tangerines
32222500,limes
32223006,non tropical fruit
32223109,berry fruit
32223116,currants
32223123,gooseberries
32223130,strawberries
32223147,raspberries
32223154,cranberries
32223202,apples pears and quinces
32223219,apples
32223226,pears
32223233,quinces
32223305,stone fruit
32223312,apricots
32223329,peaches
32223336,cherries
32223343,plums
32223408,grapes
32223415,table grapes
32223422,wine grapes
32224007,olives
33000002,farming hunting and fishing products
33100005,fish crustaceans and aquatic products
33110002,fish
33111003,flat fish
33111106,sole
33111209,plaice
33112004,fish of the cod family
33112107,cod
33112200,pollock
33112303,hake
33112406,haddock
33113005,herring
33114006,tuna
33115007,whiting
33116008,whitebait
33117009,salmon
33120009,crustaceans
33121000,oysters
33122001,shellfish
33123002,aquatic invertebrates
33130006,aquatic products
33131007,corals or similar products
33132008,natural sponges
33133009,seaweeds
33133102,algae
33200008,cattle livestock and small animals
33210005,cattle
33211006,bovine cattle
33212007,calves
33220002,livestock
33221003,sheep
33222004,goats
33223005,horses
33230009,pigs
33240006,live poultry
33250003,small animals
33251004,rabbits
33252005,hares
33300003,farm animal products
33310000,fresh milk from sheep and goats
